# 
#  Image file: frame00000.jpg
#  Applied threshold: 500
#  Algorithm used: fill2                 
#  Particle count: 24
#  Location (x,y), max luminance, and mass:
# 
  1	252	734	  4	
 21	357	557	  2	
 29	369	599	  1	
 41	263	764	  4	
 58	218	758	  7	
115	292	506	  1	
124	429	764	  6	
176	225	764	  6	
200	210	765	  2	
254	223	653	  1	
283	465	764	  4	
390	324	617	  1	
436	347	764	  4	
450	131	755	 10	
478	185	569	  2	
495	214	764	  4	
529	451	764	  4	
544	 40	764	  4	
560	464	765	  3	
588	415	521	  1	
606	 66	764	  3	
612	297	755	  6	
622	138	764	  3	
639	 55	761	  5	
