# 
#  Image file: frame00032.jpg
#  Applied threshold: 500
#  Algorithm used: fill2                 
#  Particle count: 24
#  Location (x,y), max luminance, and mass:
# 
 15	 42	764	  3	
 32	402	764	  4	
 52	 90	764	  5	
 61	 77	509	  1	
 84	  8	764	  4	
123	 48	765	  4	
161	149	764	  6	
173	115	719	  3	
186	188	764	  4	
198	181	764	  3	
254	223	650	  1	
276	213	764	  5	
289	464	500	  1	
319	211	764	  5	
327	 67	764	  6	
363	131	764	  4	
390	324	563	  1	
420	338	530	  1	
426	 38	764	  5	
446	418	764	  6	
539	444	749	  4	
590	171	764	  4	
626	442	764	  4	
630	  4	764	  3	
