# 
#  Image file: frame00111.jpg
#  Applied threshold: 400
#  Algorithm used: fill2                 
#  Processing time: 0.069000 (s)
#  Particle count: 24
#  Location (x,y), max luminance, and mass:
# 
 29	369	494	  1	
 68	476	413	  1	
 84	 62	764	  3	
100	286	764	  6	
115	292	476	  1	
125	390	764	  6	
137	399	401	  1	
141	 23	422	  2	
146	397	764	  4	
154	359	407	  1	
187	426	764	  4	
226	270	764	  5	
231	338	764	  5	
254	223	665	  1	
283	 75	764	  4	
301	197	764	  4	
390	262	764	  4	
390	324	536	  1	
420	338	428	  1	
436	335	764	  3	
459	174	467	  2	
471	 13	536	  7	
499	330	764	  5	
588	415	488	  1	
