# 
#  Image file: frame00133.jpg
#  Applied threshold: 400
#  Algorithm used: fill2                 
#  Processing time: 0.068000 (s)
#  Particle count: 20
#  Location (x,y), max luminance, and mass:
# 
 29	369	476	  1	
 68	470	764	  6	
 68	476	572	  1	
 95	287	764	  5	
115	292	491	  1	
149	 19	764	  7	
154	359	449	  1	
157	419	764	  4	
226	277	641	  6	
239	341	764	  4	
254	223	662	  1	
279	 90	518	  3	
387	278	683	  4	
390	324	569	  1	
420	338	443	  1	
539	105	764	  4	
559	446	416	  1	
579	439	764	  5	
588	415	455	  1	
617	163	764	  4	
