# 
#  Image file: frame00049.jpg
#  Applied threshold: 400
#  Algorithm used: fill2                 
#  Processing time: 0.068000 (s)
#  Particle count: 25
#  Location (x,y), max luminance, and mass:
# 
 29	369	467	  1	
 64	187	764	  4	
 68	476	401	  1	
111	 39	764	  3	
115	292	482	  1	
120	260	482	  3	
126	 93	764	  5	
133	472	746	  7	
154	434	551	  3	
154	359	401	  1	
205	464	566	  5	
217	314	764	  4	
249	219	734	  6	
254	223	728	  1	
275	255	764	  4	
291	423	704	  6	
378	233	764	  5	
390	324	548	  1	
470	299	764	  6	
485	191	581	  3	
504	299	437	  2	
527	 64	437	  6	
559	446	458	  1	
588	415	473	  1	
618	441	764	  4	
