# 
#  Image file: frame00080.jpg
#  Applied threshold: 500
#  Algorithm used: fill2                 
#  Particle count: 24
#  Location (x,y), max luminance, and mass:
# 
 29	369	506	  1	
 51	286	764	  3	
 82	108	764	  3	
115	292	584	  1	
122	207	569	  6	
124	387	755	  9	
126	469	764	  3	
149	397	503	  1	
171	308	629	  3	
178	355	765	  3	
254	223	638	  1	
273	298	765	  3	
336	203	524	  2	
390	346	539	  2	
390	324	560	  1	
406	301	764	  5	
420	156	764	  4	
439	 97	626	  3	
441	118	764	  3	
441	423	764	  2	
500	 35	764	  3	
519	461	764	  3	
532	274	765	  5	
614	226	764	  4	
