# 
#  Image file: frame00116.jpg
#  Applied threshold: 500
#  Algorithm used: fill2                 
#  Particle count: 24
#  Location (x,y), max luminance, and mass:
# 
 21	450	764	  4	
 29	369	518	  1	
104	329	764	  4	
111	291	644	  3	
115	292	665	  1	
157	149	764	  4	
174	207	764	  6	
238	465	611	  3	
254	223	596	  1	
296	257	764	  4	
343	359	764	  4	
352	219	608	  3	
357	387	764	  3	
358	415	764	  4	
363	226	764	  5	
390	324	671	  1	
434	362	765	  3	
466	 50	557	  2	
468	 47	590	  1	
554	333	764	  4	
565	413	764	  3	
598	 71	764	  5	
599	250	764	  8	
628	428	764	  4	
